axis	stage_suffix	version_major	candidate_ref	candidate_commit	candidate_tree	candidate_version	description
paradox2	-	2	refs/paradox-release/candidate-20260905T212019Z	75f85f5be79a0da2dba268b0a7562839f7f9177c	f18cf53d2430278b78ee76d222c71c1040378242	2.0.0	Frozen Paradox 2 release candidate compatibility evidence.
paradox1	-paradox1	1	refs/tags/v1.0.1	cdcc8e616afe243cd7c54e15713c86f818a52626	09815307df797edab1c3241ff75f476289e2cb6c	1.0.1	Released Paradox 1.0.1 dual-version compatibility evidence.
